,date,open
425,2014-10-16,35.59
426,2014-10-17,36.675
427,2014-10-20,36.805
428,2014-10-21,37.5
429,2014-10-22,37.24
430,2014-10-23,37.575
431,2014-10-24,37.45
432,2014-10-27,38.005
433,2014-10-28,38.17
434,2014-10-29,38.55
435,2014-10-30,38.09
436,2014-10-31,37.625
437,2014-11-03,37.985
438,2014-11-04,37.805
439,2014-11-05,38.505
440,2014-11-06,38.485
441,2014-11-07,38.82
442,2014-11-10,38.82
443,2014-11-11,38.915
444,2014-11-12,38.705
445,2014-11-13,39.095
446,2014-11-14,39.04
447,2014-11-17,38.97
448,2014-11-18,38.815
449,2014-11-19,38.72
450,2014-11-20,38.83
451,2014-11-21,39.565
452,2014-11-24,39.95
453,2014-11-25,40.28
454,2014-11-26,40.06
455,2014-11-28,40.215
456,2014-12-01,40.5
457,2014-12-02,40.345
458,2014-12-03,40.21
459,2014-12-04,40.3
460,2014-12-05,41.25
461,2014-12-08,42.1
462,2014-12-09,41.535
463,2014-12-10,41.45
464,2014-12-11,41.45
465,2014-12-12,41.37
466,2014-12-15,41.135
467,2014-12-16,40.245
468,2014-12-17,39.565
469,2014-12-18,40.775
470,2014-12-19,40.1
471,2014-12-22,39.925
472,2014-12-23,40.75
473,2014-12-24,40.735
474,2014-12-26,40.715
475,2014-12-29,40.83
476,2014-12-30,41.035
477,2014-12-31,41.095
478,2015-01-02,41.065
479,2015-01-05,40.07
480,2015-01-06,40.17
481,2015-01-07,39.875
482,2015-01-08,41.165
483,2015-01-09,40.495
484,2015-01-12,40.145
485,2015-01-13,40.74
486,2015-01-14,40.025
487,2015-01-15,40.3
488,2015-01-16,39.63
489,2015-01-20,40.4
490,2015-01-21,40.525
491,2015-01-22,40.68
492,2015-01-23,43.25
493,2015-01-26,44.045
494,2015-01-27,43.89
495,2015-01-28,44.35
496,2015-01-29,44.005
497,2015-01-30,44.29
498,2015-02-02,43.84
499,2015-02-03,43.99
500,2015-02-04,44.0
501,2015-02-05,44.355
502,2015-02-06,44.75
503,2015-02-09,44.255
504,2015-02-10,44.685
505,2015-02-11,45.58
506,2015-02-12,45.545
507,2015-02-13,45.995
508,2015-02-17,45.885
509,2015-02-18,46.195
510,2015-02-19,46.575
511,2015-02-20,46.73
512,2015-02-23,46.925
513,2015-02-24,46.63
514,2015-02-25,46.65
515,2015-02-26,47.15
516,2015-02-27,47.395
517,2015-03-02,46.665
518,2015-03-03,47.05
519,2015-03-04,46.905
520,2015-03-05,46.64
521,2015-03-06,46.65
522,2015-03-09,46.195
523,2015-03-10,46.08
524,2015-03-11,46.06
525,2015-03-12,45.985
526,2015-03-13,46.34
527,2015-03-16,47.0
528,2015-03-17,46.88
529,2015-03-18,47.0
530,2015-03-19,48.38
531,2015-03-20,49.245
532,2015-03-23,48.94
533,2015-03-24,48.555
534,2015-03-25,49.07
535,2015-03-26,47.675
536,2015-03-27,47.5
537,2015-03-30,48.02
538,2015-03-31,47.835
539,2015-04-01,47.14
540,2015-04-02,46.71
541,2015-04-06,46.925
542,2015-04-07,47.205
543,2015-04-08,46.92
544,2015-04-09,47.65
545,2015-04-10,48.6
546,2015-04-13,48.56
547,2015-04-14,48.52
548,2015-04-15,48.81
549,2015-04-16,48.23
550,2015-04-17,47.9
551,2015-04-20,47.9
